model_id,downloads,likes,pipeline_tag,task_name,library_name,frameworks,license,arxiv,param_count,size_category,created_at,last_modified
nvidia/Gemma-4-26B-A4B-NVFP4,1337797,120,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",apache-2.0,,14386941232,10B-20B,2026-05-01T01:26:06.000Z,2026-05-11T15:58:52.000Z
google/gemma-3-270m-it,1322991,606,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",gemma,2503.19786,268098176,100M-1B,2025-07-30T18:06:27.000Z,2025-08-14T07:35:07.000Z
openai-community/gpt2-large,1300239,355,text-generation,Text Generation,transformers,"onnx, pytorch, rust, safetensors, text-generation-inference, transformers",mit,1910.09700,811778816,100M-1B,2022-03-02T23:29:04.000Z,2024-02-19T11:11:02.000Z
deepseek-ai/DeepSeek-V2-Lite-Chat,1267996,144,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",other,2405.04434,15706484224,10B-20B,2024-05-15T05:34:09.000Z,2024-06-25T08:36:27.000Z
sshleifer/tiny-gpt2,1245714,36,text-generation,Text Generation,transformers,"pytorch, text-generation-inference, transformers",,,,Unknown,2022-03-02T23:29:05.000Z,2021-05-23T12:55:11.000Z
Qwen/Qwen2-0.5B,1240675,169,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,,494032768,100M-1B,2024-05-31T08:38:11.000Z,2024-10-22T13:47:30.000Z
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,1231736,43,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2505.09388,31070754032,20B-50B,2025-10-04T05:17:19.000Z,2025-10-08T14:25:49.000Z
nvidia/DeepSeek-V4-Flash-NVFP4,1228799,72,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",mit,,166726476754,100B+,2026-05-18T00:02:10.000Z,2026-06-15T01:14:07.000Z
meta-llama/Llama-3.1-70B-Instruct,1225350,931,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",llama3.1,2204.05149,70553706496,50B-100B,2024-07-16T16:07:46.000Z,2024-12-15T01:55:33.000Z
Qwen/Qwen2.5-72B-Instruct-AWQ,1208526,78,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",other,2309.00071,72957861888,50B-100B,2024-09-17T13:56:58.000Z,2024-10-09T12:27:10.000Z
h2oai/h2ovl-mississippi-800m,1196342,40,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2410.13611,826295808,100M-1B,2024-10-16T23:14:07.000Z,2026-07-16T05:07:17.000Z
h2oai/h2ovl-mississippi-2b,1175710,43,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,2410.13611,2152317440,1B-5B,2024-10-15T18:15:29.000Z,2026-07-16T05:07:36.000Z
deepseek-ai/DeepSeek-V3,1155192,4102,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",,2412.19437,684531386000,100B+,2024-12-25T12:52:23.000Z,2025-03-27T04:01:45.000Z
deepseek-ai/DeepSeek-V3.2,1150985,1457,text-generation,Text Generation,transformers,"safetensors, transformers",mit,,685396921376,100B+,2025-12-01T02:34:49.000Z,2025-12-01T11:04:59.000Z
tiiuae/falcon-7b,1137627,1104,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",apache-2.0,2205.14135,7217189760,5B-10B,2023-04-24T16:36:24.000Z,2024-10-12T13:20:18.000Z
TheBloke/TinyLlama-1.1B-Chat-v0.3-GPTQ,1135246,10,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,,1100454912,1B-5B,2023-10-03T11:01:00.000Z,2023-10-03T11:07:41.000Z
mistralai/Mistral-7B-Instruct-v0.2,1110943,3190,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",apache-2.0,2310.06825,7241732096,5B-10B,2023-12-11T13:18:44.000Z,2025-07-24T16:57:21.000Z
Qwen/Qwen2.5-Coder-7B,1047370,159,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,2409.12186,7615616512,5B-10B,2024-09-16T11:57:24.000Z,2024-11-18T12:54:02.000Z
deepreinforce-ai/Ornith-1.0-9B,1023236,476,text-generation,Text Generation,transformers,"safetensors, transformers",mit,,1469680,<100M,2026-06-21T04:27:07.000Z,2026-06-25T14:08:32.000Z
